event_id,timestamp,event_type,metric_value,delta_or_zscore,threshold,bucket_size,previous_timestamp,post_count,pct_negative,pct_neutral,pct_positive,polarity
EVT_001,2026-09-21T22:00:00+00:00,sentiment_shift,23.08,44.51,15.0,1 hour,2026-09-21T21:00:00+00:00,13,15.38,46.15,38.46,23.08
EVT_002,2026-09-22T00:00:00+00:00,sentiment_shift,45.46,24.03,15.0,1 hour,2026-09-21T23:00:00+00:00,11,18.18,18.18,63.64,45.46
EVT_003,2026-09-22T02:00:00+00:00,sentiment_shift,16.659999999999997,-25.010000000000005,15.0,1 hour,2026-09-22T01:00:00+00:00,12,16.67,50.0,33.33,16.659999999999997
EVT_004,2026-09-22T03:00:00+00:00,sentiment_shift,0.0,-16.659999999999997,15.0,1 hour,2026-09-22T02:00:00+00:00,4,0.0,100.0,0.0,0.0
EVT_005,2026-09-22T04:00:00+00:00,sentiment_shift,15.380000000000003,15.380000000000003,15.0,1 hour,2026-09-22T03:00:00+00:00,13,23.08,38.46,38.46,15.380000000000003
EVT_006,2026-09-22T07:00:00+00:00,sentiment_shift,31.25,20.14,15.0,1 hour,2026-09-22T06:00:00+00:00,16,25.0,18.75,56.25,31.25
EVT_007,2026-09-22T08:00:00+00:00,sentiment_shift,0.0,-31.25,15.0,1 hour,2026-09-22T07:00:00+00:00,14,28.57,42.86,28.57,0.0
EVT_008,2026-09-22T11:00:00+00:00,sentiment_shift,53.85,50.28,15.0,1 hour,2026-09-22T10:00:00+00:00,26,7.69,30.77,61.54,53.85
EVT_009,2026-09-22T12:00:00+00:00,sentiment_shift,1.5400000000000027,-52.31,15.0,1 hour,2026-09-22T11:00:00+00:00,65,30.77,36.92,32.31,1.5400000000000027
EVT_010,2026-09-22T13:00:00+00:00,engagement_spike,151,2.884,115.2068,1 hour,2026-09-22T12:00:00+00:00,85,24.71,36.47,38.82,14.11
EVT_011,2026-09-22T16:00:00+00:00,sentiment_shift,-22.92,-21.53,15.0,1 hour,2026-09-22T15:00:00+00:00,48,41.67,39.58,18.75,-22.92
