hour,post_count,total_engagement,avg_engagement,pct_negative,pct_neutral,pct_positive
2026-09-21T21:00:00+00:00,14,7,0.5,50.0,21.43,28.57
2026-09-21T22:00:00+00:00,13,43,3.31,15.38,46.15,38.46
2026-09-21T23:00:00+00:00,14,30,2.14,21.43,35.71,42.86
2026-09-22T00:00:00+00:00,11,3,0.27,18.18,18.18,63.64
2026-09-22T01:00:00+00:00,12,22,1.83,0.0,58.33,41.67
2026-09-22T02:00:00+00:00,12,4,0.33,16.67,50.0,33.33
2026-09-22T03:00:00+00:00,4,0,0.0,0.0,100.0,0.0
2026-09-22T04:00:00+00:00,13,5,0.38,23.08,38.46,38.46
2026-09-22T05:00:00+00:00,11,8,0.73,27.27,36.36,36.36
2026-09-22T06:00:00+00:00,18,41,2.28,27.78,33.33,38.89
2026-09-22T07:00:00+00:00,16,2,0.12,25.0,18.75,56.25
2026-09-22T08:00:00+00:00,14,70,5.0,28.57,42.86,28.57
2026-09-22T09:00:00+00:00,16,32,2.0,25.0,56.25,18.75
2026-09-22T10:00:00+00:00,28,25,0.89,28.57,39.29,32.14
2026-09-22T11:00:00+00:00,26,8,0.31,7.69,30.77,61.54
2026-09-22T12:00:00+00:00,65,66,1.02,30.77,36.92,32.31
2026-09-22T13:00:00+00:00,85,151,1.78,24.71,36.47,38.82
2026-09-22T14:00:00+00:00,94,109,1.16,31.91,34.04,34.04
2026-09-22T15:00:00+00:00,72,90,1.25,36.11,29.17,34.72
2026-09-22T16:00:00+00:00,48,37,0.77,41.67,39.58,18.75
2026-09-22T17:00:00+00:00,0,0,0.0,0.0,0.0,0.0
2026-09-22T18:00:00+00:00,1,0,0.0,0.0,100.0,0.0
