event_id,timestamp,event_type,bucket_post_count,current_topics,previous_topics,current_entities,previous_entities
EVT_001,2026-09-21T22:00:00+00:00,sentiment_shift,12,"apple, iphone, pro, iphone pro, ios","iphone, apple, duo, iphone duo, apple iphone","Apple (11), iOS 27 (3), iOS (3), iPhone 18 (3), iPhone 17 (1), App Store (1), AirPods (1)","Apple (13), iPhone Duo (5), Samsung (4), iPhone 18 (3), Apple Watch (2), M6 (2), Android (2), Amazon (1)"
EVT_002,2026-09-22T00:00:00+00:00,sentiment_shift,11,"apple iphone, iphone, apple, renewed, unlocked renewed","iphone, apple, apple iphone, iphone pro, pro","Apple (10), Amazon (7), iOS (2), iPhone 18 (1), iOS 26 (1), iOS 27 (1), Bluesky (1), iPhone 17 (1)","Apple (12), Amazon (2), iPhone Duo (2), iPhone 18 (2), iOS 27 (2), iOS 26 (1), iOS (1)"
EVT_003,2026-09-22T02:00:00+00:00,sentiment_shift,11,"iphone, apple, iphone pro, pro, duo","apple, iphone, apple iphone, iphone pro, pro","Apple (10), iPhone 18 (3), iPhone Duo (2), iOS (2), App Store (1), Samsung (1), Apple Watch (1), iOS 27 (1), iPad (1)","Apple (11), iPhone Duo (3), Amazon (2), iPhone 17 (2), iPad (1), iPhone 18 (1), Apple Watch (1)"
EVT_004,2026-09-22T03:00:00+00:00,sentiment_shift,4,"iphone, apple, charging, charger, station","iphone, apple, iphone pro, pro, duo","Apple (4), Amazon (1), iPhone 18 (1)","Apple (10), iPhone 18 (3), iPhone Duo (2), iOS (2), App Store (1), Samsung (1), Apple Watch (1), iOS 27 (1), iPad (1)"
EVT_005,2026-09-22T04:00:00+00:00,sentiment_shift,13,"iphone, apple, iphone pro, pro, to5mac","iphone, apple, charging, charger, station","Apple (11), iPhone 18 (5), Apple Watch (3), Amazon (2), AirPods (2), iPad (1), iOS 27 (1), iOS (1), iPhone Duo (1), Apple Pencil (1)","Apple (4), Amazon (1), iPhone 18 (1)"
EVT_006,2026-09-22T07:00:00+00:00,sentiment_shift,16,"iphone, apple, pro, iphone pro, duo","iphone, apple, pro, iphone pro, iphone duo","Apple (14), iPhone 17 (4), iPhone Duo (3), Android (2), iOS (2), Samsung (1), iOS 27 (1), iPhone 18 (1)","Apple (16), iPhone Duo (5), iPhone 18 (3), iOS (3), iOS 26 (2), Android (2), iOS 27 (1), Google (1), iPhone 17 (1)"
EVT_007,2026-09-22T08:00:00+00:00,sentiment_shift,14,"iphone, apple, pro, iphone pro, ios","iphone, apple, pro, iphone pro, duo","Apple (9), iOS (4), iOS 27 (3), iPhone 18 (2), Apple Watch (1), iPhone Duo (1)","Apple (14), iPhone 17 (4), iPhone Duo (3), Android (2), iOS (2), Samsung (1), iOS 27 (1), iPhone 18 (1)"
EVT_008,2026-09-22T11:00:00+00:00,sentiment_shift,26,"iphone, apple, ios, pro, iphone pro","iphone, apple, iphone pro, pro, duo","Apple (25), iPhone 18 (6), iOS (6), iPhone Duo (5), iOS 27 (4), iPhone 17 (2), Samsung (1), Xiaomi (1), Amazon (1), Apple Watch (1)","Apple (23), iPhone 18 (10), iPhone Duo (6), Apple Pencil (2), iOS 27 (2), iOS (2), iPhone 17 (1), Apple Watch (1)"
EVT_009,2026-09-22T12:00:00+00:00,sentiment_shift,63,"iphone, pro, apple, iphone pro, ios","iphone, apple, ios, pro, iphone pro","Apple (18), iPhone 18 (12), iOS (10), iPhone Duo (9), iOS 27 (7), Amazon (5), iOS 26 (3), App Store (2), iPhone 17 (2), iPad (2)","Apple (25), iPhone 18 (6), iOS (6), iPhone Duo (5), iOS 27 (4), iPhone 17 (2), Samsung (1), Xiaomi (1), Amazon (1), Apple Watch (1)"
EVT_010,2026-09-22T13:00:00+00:00,engagement_spike,84,"iphone, pro, iphone pro, apple, duo","iphone, pro, apple, iphone pro, ios","Apple (35), iPhone 18 (24), iPhone Duo (13), iOS (12), iOS 27 (9), Amazon (7), Apple Watch (3), iPhone 17 (2), iPhone Pro (2), Apple Pencil (1)","Apple (18), iPhone 18 (12), iOS (10), iPhone Duo (9), iOS 27 (7), Amazon (5), iOS 26 (3), App Store (2), iPhone 17 (2), iPad (2)"
EVT_011,2026-09-22T16:00:00+00:00,sentiment_shift,45,"iphone, apple, pro, iphone pro, android","iphone, apple, pro, iphone pro, duo","Apple (14), Amazon (6), iPhone 18 (4), Android (3), iPhone 17 (3), iPhone Duo (2), iOS 27 (2), iOS (2), Google (1), iPad (1)","Apple (30), iPhone 18 (15), iPhone Duo (11), iPhone 17 (8), iOS (7), iPad (6), iOS 27 (3), Android (3), Amazon (3), AirPods (2)"
